Chrom.1		Chrom.1		
Cond		UV		
ml	mS/cm	ml	mAU	
0	12.78203	0	14.99403	
0.003	12.79654	0.002	-0.009834814	
0.007	12.79995	0.003	-0.3090048	
0.01	12.80166	0.005	-0.440498	
0.013	12.80022	0.007	-0.5942031	
0.017	12.79552	0.008	-0.7940789	
0.02	12.78394	0.01	-1.021708	
0.023	12.76379	0.012	-1.189331	
0.027	12.7345	0.013	-1.309686	
0.03	12.69936	0.015	-1.406287	
0.033	12.66369	0.017	-1.478949	
0.037	12.6316	0.018	-1.541122	
0.04	12.60401	0.02	-1.5934	
0.043	12.5812	0.022	-1.641029	
0.047	12.56299	0.023	-1.694083	
0.05	12.54906	0.025	-1.752714	
0.053	12.53742	0.027	-1.814123	
0.057	12.52779	0.028	-1.862865	
0.06	12.51995	0.03	-1.896449	
0.063	12.51419	0.032	-1.918941	
0.067	12.51038	0.033	-1.954488	
0.07	12.506	0.035	-1.988121	
0.073	12.49373	0.037	-2.017384	
0.077	12.47383	0.038	-2.035866	
0.08	12.45306	0.04	-2.040773	
0.083	12.43726	0.042	-2.027874	
0.087	12.42707	0.043	-1.999351	
0.09	12.4215	0.045	-1.94165	
0.093	12.41829	0.047	-1.852554	
0.097	12.41637	0.048	-1.740902	
0.1	12.41545	0.05	-1.639736	
0.103	12.41545	0.052	-1.560853	
0.107	12.41664	0.053	-1.492281	
0.11	12.41757	0.055	-1.424234	
0.113	12.4175	0.057	-1.363121	
0.117	12.41739	0.058	-1.309038	
0.12	12.41805	0.06	-1.251899	
0.123	12.41926	0.062	-1.192862	
0.127	12.42061	0.063	-1.13976	
0.13	12.42231	0.065	-1.073134	
0.133	12.42383	0.067	-0.9895743	
0.137	12.4252	0.068	-0.8962213	
0.14	12.42676	0.07	-0.8150431	
0.143	12.42853	0.072	-0.7425213	
0.147	12.43046	0.073	-0.6736712	
0.15	12.4325	0.075	-0.5904275	
0.153	12.43461	0.077	-0.5004355	
