ml,mAU
0.001,0.02132009
0.002,0.1072839
0.002,0.1127995
0.003,0.1123285
0.004,0.1149337
0.005,0.0985289
0.006,0.07234807
0.007,0.05104071
0.007,0.03108733
0.008,0.01331502
0.009,-0.004684721
0.01,-0.01892795
0.011,-0.02353312
0.012,-0.01205315
0.012,0.01785606
0.013,0.05928688
0.014,0.1056106
0.015,0.1537968
0.016,0.2003494
0.017,0.2440844
0.017,0.2829247
0.018,0.3165489
0.019,0.3440188
0.02,0.3788247
0.021,0.4486662
0.022,0.6996642
0.022,1.160806
0.023,1.716955
0.024,2.251857
0.025,2.655031
0.026,2.871442
0.027,2.954194
0.027,2.985168
0.028,3.000454
0.029,3.010862
0.03,3.021652
0.031,3.034752
0.032,3.043723
0.032,3.038174
0.033,3.01495
0.034,2.980629
0.035,2.940805
0.036,2.900141
0.037,2.858723
0.037,2.819855
0.038,2.787119
0.039,2.761482
0.04,2.741536
0.041,2.713936
0.042,2.652889
0.042,2.414583
0.043,1.965209
0.044,1.416909
0.045,0.8892288
0.046,0.4882398
0.047,0.2714713
0.047,0.1920688
0.048,0.1645446
0.049,0.1519281
0.05,0.1442708
0.051,0.1372224
0.052,0.1256751
0.052,0.1110299
0.053,0.09731118
0.054,0.08331559
0.055,0.06643944
0.056,0.04816135
0.057,0.04930684
0.057,0.06196291
0.058,0.06766848
0.059,0.06362834
0.06,0.05001401
0.061,0.0313355
0.062,0.01064035
0.062,-0.01178457
0.063,-0.03088013
0.064,-0.0486969
0.065,-0.06857173
0.066,-0.09202063
0.067,-0.115487
0.067,-0.1409573
0.068,-0.1679581
0.069,-0.1951267
0.07,-0.2227556
0.071,-0.2515974
0.072,-0.2810664
0.072,-0.3087538
0.073,-0.3362625
0.074,-0.365976
0.075,-0.394921
0.076,-0.4215605
0.077,-0.445891
0.077,-0.487558
0.078,-0.5421645
0.079,-0.589815
0.08,-0.6284176
0.081,-0.6566522
0.082,-0.6774068
0.082,-0.6948917
0.083,-0.7125037
0.084,-0.7352509
0.085,-0.7605869
0.086,-0.7826592
0.087,-0.8008418
0.087,-0.8172944
0.088,-0.8326132
0.089,-0.8469532
0.09,-0.8612522
0.091,-0.8745403
0.091,-0.8852619
0.092,-0.8960227
0.093,-0.9092644
0.094,-0.9226368
0.095,-0.9345109
0.096,-0.9467923
0.096,-0.9580704
0.097,-0.9693678
0.098,-0.9793914
0.099,-0.9886904
0.1,-0.9979114
0.101,-1.005997
0.101,-1.017155
0.102,-1.030326
0.103,-1.044111
0.104,-1.056141
0.105,-1.065003
0.106,-1.072038
0.106,-1.078839
0.107,-1.085918
0.108,-1.093828
0.109,-1.101187
0.11,-1.107056
0.111,-1.113065
0.111,-1.118733
0.112,-1.124808
0.113,-1.13133
0.114,-1.136174
