Source,Target,Weight
"范慎",五竹,939
"范慎",叶流云,151
"范慎",苦荷,300
"范慎","妹妹",255
"范慎","司南伯",246
"范慎",影子,385
"范慎","生母",162
"范慎",藤子京,155
"范慎","宰相",72
"范慎","监察院院长",939
"范慎",贺宗纬,363
"范慎",郭攸之,30
"范慎",郭保坤,82
"范慎",王启年,528
"范慎","二皇妃",339
"范慎",柔嘉郡主,30
"范慎","北齐贵妃",323
"范慎",靖王世子,250
"范慎",皇后,146
"范慎",太后,537
"范慎","晨郡主",432
"范慎","长公主",55
"范慎",叶重,179
"范慎","太子",50
"范慎","和亲王",617
"范慎",四顾剑,645
"范慎",宁才人,90
"范慎",淑贵妃,48
"范慎",宜贵嫔,172
"范慎",言冰云,598
"范慎",云之澜,175
"范慎",燕小乙,289
"范慎",杨万里,152
"范慎",史阐立,173
"范慎",侯季常,73
"范慎",成佳林,40
"范慎",郭铮,77
"范慎",狼桃,183
"范慎","和亲王妃",19
"范慎",邓子越,199
"范慎",苏文茂,99
"范慎","北齐圣女",68
"范慎","三皇子",53
"范慎",玛索索,35
"范慎",荆戈,59
"范慎",洪常青,42
"范慎",王十三郎,450
"范慎","皇帝",249
"范慎",秦业,8
"范慎","二皇子",17
"范慎",范良,4
"范慎","北齐女皇帝",9
"范慎",洪亦青,11
"范慎",叶完,98
五竹,"范慎",939
五竹,叶流云,65
五竹,"妹妹",4
五竹,"生母",61
五竹,"晨郡主",5
五竹,"监察院院长",66
五竹,靖王世子,5
五竹,叶重,18
五竹,"司南伯",11
五竹,太后,7
五竹,四顾剑,42
五竹,影子,18
五竹,燕小乙,4
五竹,苦荷,41
五竹,王十三郎,34
五竹,"皇帝",60
五竹,叶完,5
"妹妹","范慎",255
"妹妹",五竹,4
"妹妹",藤子京,7
"妹妹",柔嘉郡主,8
"妹妹",贺宗纬,25
"妹妹","二皇妃",33
"妹妹","晨郡主",44
"妹妹","监察院院长",8
"妹妹","司南伯",8
"妹妹",宜贵嫔,7
"妹妹",苦荷,13
"妹妹",靖王世子,18
"妹妹","皇帝",6
影子,"范慎",385
影子,"监察院院长",65
影子,五竹,18
影子,狼桃,16
影子,四顾剑,134
影子,云之澜,26
影子,叶流云,8
影子,王启年,4
影子,言冰云,9
影子,王十三郎,39
影子,荆戈,4
影子,"皇帝",11
影子,叶重,11
叶流云,"范慎",151
叶流云,叶重,16
叶流云,五竹,65
叶流云,"二皇妃",15
叶流云,四顾剑,107
叶流云,苦荷,41
叶流云,"生母",4
叶流云,"监察院院长",9
叶流云,影子,8
叶流云,燕小乙,5
叶流云,"皇帝",37
叶重,叶流云,16
叶重,"二皇妃",23
叶重,"范慎",179
叶重,五竹,18
叶重,燕小乙,21
叶重,"监察院院长",27
叶重,靖王世子,6
叶重,太后,9
叶重,"和亲王",23
叶重,皇后,4
叶重,"太子",6
叶重,贺宗纬,5
叶重,"皇帝",6
叶重,影子,11
叶重,叶完,9
叶重,"生母",8
苦荷,"范慎",300
苦荷,四顾剑,125
苦荷,叶流云,41
苦荷,太后,37
苦荷,"监察院院长",38
